Area (ABD),Width,Aspect Ratio,Average Blue,Average Green,Average Red,Transparency
311.4601315853902,28.07653489784822,3.210683803765874,132.4729034345655,127.82663869286304,120.93718995692218,0.5764036310173881
472.13667453921306,,2.1180307608511053,,,140.31566145089775,0.5336823092293422
,25.134967895455976,2.477493189978412,109.43407190979644,109.5919925699912,109.36112317666054,0.6351253470483909
924.9578632907852,53.56202296599077,1.081130330026313,195.20657616017724,,196.3907544664279,0.3557571603340314
928.9452256497443,,1.076489735226915,138.47661855682418,,145.40929965517464,0.5264089721943208
777.1469220322047,52.09071476779955,1.2867579754225165,159.76955073103252,169.49188049411006,165.3678333702089,0.4504119282273872
725.4465573710012,44.456674760750886,1.3784612937222738,123.96268520741481,132.38832358053946,126.49531203202741,0.5746151990889092
974.0558509035884,65.02341806186674,1.0266351760757295,177.67970835374365,169.02968979854558,168.38662231093952,
470.3634943229019,24.20492751237359,2.1260153308443313,157.20948063942106,165.22461444529847,164.58172205276244,0.4588713142916867
650.9076748971488,,1.5363161913216217,107.63312644871644,103.58918531247056,105.63385493498915,0.6479375925598043
734.6137914143312,43.3394585993911,1.3612594967414484,109.9744149393946,109.38061112966001,100.05438235464985,0.6451006573069951
204.6361001462705,11.946796264509457,,129.84860285134536,127.10321447978083,135.93986925825456,0.5634536815673546
443.9850547991145,39.49251993024297,2.2523280664311103,122.82375840466614,121.4452120045558,122.17420839480262,0.5928409124399727
69.25104997224622,5.990153458512234,14.440214269686459,101.80930443066785,103.83120718704461,99.90321968643829,0.6605069652176103
159.53361599071445,12.726336386988132,6.268271384622815,159.17195680611212,,154.2986903255521,0.4748207201626867
,27.977677394086484,2.6926921414715848,101.70229620507862,103.80140689612776,108.14030595062283,
600.1776782182418,56.68095591211805,,140.7440433893776,141.855197586099,149.02714940075464,0.5204151218041875
290.48056686771275,25.421822339688216,3.442571084128352,152.4147132254153,155.62486256923384,159.6015762099487,0.48039871999489125
839.0423894853918,47.374305193257946,1.191834897177636,189.05927005101563,198.56781123533548,201.6412905777045,0.34525736459549383
419.15250595525754,,2.3857664830631955,184.77564381626786,190.9558808412619,192.83436404945937,0.36826012365890104
415.033748194037,,2.409442616055596,,171.6486936748738,180.08935686571346,
151.82155391423711,8.068328872136293,6.586680047846782,124.9422980452711,131.94073267546568,123.88692941889875,0.5769222665115161
299.27710544868705,19.92596361381576,3.341384896451614,173.4788956951195,,181.29304075158333,0.4106947550104141
646.2396541283051,53.81393218821481,1.5474135541076823,120.37894953741944,120.4405220157777,126.97596803398163,0.5913384004586902
,46.56079498326947,1.136376762334207,111.0129583021735,110.09991555103022,119.55637759083777,
153.73558964648066,8.807960698174767,6.504674696988046,,136.79763495811017,142.1353864480715,0.5272033416689945
109.31110063184877,5.471002883056029,9.148201730837215,109.46708851666496,118.29088435128963,125.42865159582183,0.6075704172624707
682.4574006441661,57.129489842187155,1.465292923860314,135.65584416962398,139.75019171663905,140.0499694299363,0.5383822163153341
521.3792150983783,31.374900458043246,1.9179897683710148,116.48103150009028,114.40598811355994,111.55353116766099,0.6195104991318764
,,5.74289409296346,139.41101908474383,136.5721938040756,146.01021515663953,0.5311184132828234
766.762035541992,45.5903616779902,1.3041855929827588,114.147529606772,105.45953422929203,97.4242100169204,0.6477430290522395
350.5914129139841,30.367327429866904,2.8523231407420275,112.4009421536814,104.85730961081906,107.44022589260244,0.6392239137143301
970.5982201352288,,1.030292431260254,,142.0307544590641,,0.5376819634568019
347.6711478935856,27.48020088483801,2.8762812389197094,152.49435520758922,157.3479221382589,166.8510236749287,0.4703407766435813
473.2850669298891,,2.1128915105790496,193.1910957392398,185.543102112914,191.91665005112597,
754.8162339927889,43.600147817316035,1.324825772109127,110.42737177688096,117.27471090594207,121.19996991959678,0.612331052663978
364.9695141628335,28.286708555864326,2.7399548762142465,,129.9008341997414,125.89339619989465,
909.1980781832021,59.70926466917625,1.0998703406833437,138.6374638542847,140.42443893604727,131.76683346427055,0.5435236263837749
,66.06411579231471,1.0294628607111815,130.72679412847845,,118.03568812081264,0.5823862582811967
539.7949338906719,37.14467155818175,1.8525553635568879,111.26774877148303,108.87008970716236,117.95966606733836,0.6243361060600181
353.4050041282906,33.36072919480629,2.829614714898001,149.2549412888037,150.07689406509016,153.64907532840908,0.4966878770196633
672.6459866649303,51.6103694920408,1.486666121295297,162.55664543249208,152.90926041364676,158.83401010989937,0.47300009338217974
513.2262297226201,27.205911487732923,1.9484584810493089,116.50634539217445,125.12327439427352,,0.5848293966450142
629.2265219585607,55.562559459777965,1.5892527811563821,174.55231697612152,174.82416478765214,,0.41041325198487355
297.0174119630463,,3.366805984170436,106.75223931617296,105.55646777571987,,0.6560405287608184
354.2794163827066,29.0868388724575,2.8226308212040196,157.59217600653574,163.95983158479393,163.2092572694851,0.46137637237687246
711.5253999838901,37.22393936019698,1.405431204595987,100.32784848932529,97.86579656067107,103.90615675965294,0.664333553544834
317.26199448371494,22.56929599002544,3.1519690898599895,101.5517837422178,100.05601465551914,,0.6745379187841134
863.0103011296087,45.365881224216594,1.158734720421162,158.1232254788764,,160.46039442721568,0.4777082896834709
949.1144875315091,71.02887664275443,1.0536136716244169,123.4988588494292,129.35835661542728,136.0524419939912,0.5678781583790581
675.2248058479269,42.27029176836585,1.4809882447138925,136.46951024353092,140.3815649324386,130.9861058735161,0.5468475766116827
,49.31110379011391,1.158357524365226,104.09319481265082,109.81715151566067,105.55903214823431,0.6450340239149491
238.61254963169372,11.963562545190976,4.190894408292995,,143.57890957261012,138.4443393299547,0.5349583354964604
871.2668075338264,44.70006315707889,1.1477540419915233,169.4029096518437,175.51005090114847,182.70144899347488,0.4137617671705921
,,2.1980225459373672,,184.99012946778527,189.11387177865652,0.385630938437031
887.476579659522,72.37736722138125,1.126790298380209,116.72471703711201,122.21464257044603,129.74857862509322,
,26.251587029917413,2.0177457911263255,144.92704715164973,153.7008077084069,156.95098783402156,0.4938012858954687
112.68325961757618,10.11749900866265,8.874432665453542,119.53713331377533,121.619114307744,111.72070181894864,0.6079145006217023
253.97234811785142,15.72083127929427,3.9374365257117185,124.6535931664921,127.8161254405556,119.8415110333533,0.5863208559551101
313.9060033992555,23.097539389480776,3.1856670123256765,165.5937029986714,163.99090753056896,157.25918981595012,0.45906244406089936
730.9837303011902,41.48427024619744,1.3680195037828897,137.4319122619736,140.3435737554861,,0.532500926752395
,26.604968904640028,,162.8211520137214,,,0.45509332117164836
878.5957259514727,46.82643964197368,1.1381799051173995,164.60805496615947,172.8107821391444,167.533277146148,0.4389420952761647
